12;13;6
68;13;14
76;162;8
76;137;0
76;135;2
76;146;2
76;168;0
77;162;51
77;137;2
77;135;16
77;146;2
77;168;0
78;162;12
78;137;2
78;135;3
78;146;2
78;168;0
79;13;14
85;162;8
85;137;0
85;135;2
85;146;2
85;168;0
87;162;8
87;137;2
87;135;2
87;146;2
87;168;0
86;162;24
86;137;2
86;135;7
86;146;2
86;168;0
88;13;14
93;162;8
93;137;0
93;135;2
93;146;2
93;168;0
94;162;20
94;137;2
94;135;5
94;146;2
94;168;0
95;13;14
100;162;8
100;137;0
100;135;2
100;146;2
100;168;0
101;162;3
101;137;2
101;135;1
101;146;1
101;168;0
102;13;17
107;162;5
107;137;0
107;135;1
107;146;1
107;168;0
106;162;3
106;137;0
106;135;1
106;146;1
106;168;0
108;13;8
109;13;1
110;13;9
109;45;3
102;45;40
79;45;81
95;45;46
110;45;11
68;45;131
88;45;71
12;45;5
108;45;2
